Instance;Best sol;Mean sol;Min sol;Max sol;Time Best;Time mean;Best known
a280;2608;2608;2608;2608;3,139;3,139;
berlin52;7542;7542;7542;7542;0,143;0,143;
bier127;118728;118728;118728;118728;1,576;1,576;
ch130;6110;6110;6110;6110;0,808;0,808;
ch150;6554;6554;6554;6554;0,652;0,652;
d198;15828;15828;15828;15828;4,013;4,013;
d493;35203;35203;35203;35203;13,615;13,615;
d657;49241;49241;49241;49241;17,863;17,863;
d1291;53475;53475;53475;53475;32,502;32,502;
eil51;427;427;427;427;0,058;0,058;
eil76;538;538;538;538;0,119;0,119;
eil101;629;629;629;629;0,283;0,283;
fl417;11929;11929;11929;11929;10,067;10,067;
gil262;2385;2385;2385;2385;2,123;2,123;
kroB200;29571;29571;29571;29571;1,271;1,271;
p654;35668;35668;35668;35668;16,468;16,468;
pcb442;51274;51274;51274;51274;5,395;5,395;
pr152;73880;73880;73880;73880;3,164;3,164;
pr299;48356;48356;48356;48356;4,019;4,019;
pr439;107867;107867;107867;107867;9,101;9,101;
pr1002;262174;262174;262174;262174;34,974;34,974;
rat195;2333;2333;2333;2333;0,958;0,958;
rat575;6803;6803;6803;6803;7,36;7,36;
rat783;8875;8875;8875;8875;16,357;16,357;
st70;675;675;675;675;0,191;0,191;
tsp225;3963;3963;3963;3963;1,52;1,52;
u724;42121;42121;42121;42121;14,478;14,478;
u1060;226511;226511;226511;226511;39,198;39,198;
u1817;60559;60559;60559;60559;41,124;41,124;
